population,health,mating_cooldown_seconds,reproduction_time_seconds,grow_into_adult_duration_seconds
57,100.1729,59.98208,5.009433,99.9044
59,100.2394,59.90374,5.006375,99.86414
60,100.3627,59.90762,5.005581,99.8321
60,100.3627,59.90762,5.005581,99.8321
60,100.3627,59.90762,5.005581,99.8321
60,100.3627,59.90762,5.005581,99.8321
65,100.2254,59.82586,5.01341,99.79124
67,100.1834,59.87464,5.009509,99.74014
70,100.2186,59.81878,5.010058,99.65968
71,100.2021,59.81316,5.013183,99.62665
71,100.2021,59.81316,5.013183,99.62665
74,99.96005,59.85942,5.011925,99.62304
76,99.95536,59.80716,5.013063,99.63296
83,99.95334,59.76905,5.015289,99.4942
82,100.1514,59.72142,5.008986,99.48058
78,99.958,59.71537,5.013971,99.43247
79,100.0591,59.69458,5.007741,99.40849
84,100.0768,59.67047,5.004577,99.28125
88,100.0328,59.59895,5.012017,99.16136
90,100.0087,59.56701,5.008337,99.1636
93,99.95374,59.5217,5.006265,99.19058
93,99.89719,59.50328,5.00159,99.14124
97,99.91705,59.42246,4.989478,99.12825
101,99.76585,59.45154,4.997284,99.09612
105,99.8022,59.53931,4.997026,99.08035
109,99.8069,59.56337,4.99085,99.07682
119,99.89164,59.52255,4.988239,99.06688
123,99.8171,59.58874,4.994254,99.0267
132,99.81468,59.62358,4.987493,98.9449
138,99.69538,59.6722,4.9877,98.88931
148,99.68188,59.76062,4.99033,98.88103
152,99.66295,59.76465,4.99392,98.84409
154,99.74681,59.84603,4.998649,98.82452
157,99.7493,59.79167,4.994281,98.80305
159,99.90257,59.87,4.993937,98.77753
165,99.99368,59.93179,4.992208,98.75138
167,100.0798,59.86999,4.998404,98.62391
171,100.0771,59.9012,5.002286,98.62952
179,100.0026,59.77988,4.992059,98.57115
178,99.94067,59.79842,4.987523,98.56467
191,99.92572,59.80555,4.992937,98.49793
191,99.90985,59.85779,4.998218,98.42423
185,99.99989,59.85678,4.99711,98.41456
192,100.1462,59.89116,4.995235,98.45857
189,100.1139,59.90219,4.998522,98.45313
178,100.1498,59.90468,4.999049,98.44461
176,99.94588,59.88987,5.001719,98.37284
162,100.1725,59.94827,4.9958,98.29211
149,100.2039,59.9448,4.988936,98.1695
148,100.2757,59.95008,4.991401,98.05719
145,100.2591,59.98265,4.985262,98.02203
141,100.3396,59.95868,4.986476,98.02164
137,100.4808,59.88311,4.979808,97.94388
144,100.4742,59.91589,4.979117,97.87541
143,100.5337,59.92949,4.977121,97.83972
143,100.4816,59.84635,4.978525,97.7092
143,100.5441,59.89197,4.977069,97.68514
150,100.5284,59.95197,4.978304,97.74018
150,100.5115,59.89806,4.982119,97.71026
154,100.5151,59.88419,4.972602,97.61795
164,100.5249,59.98187,4.97296,97.5614
169,100.6028,59.90973,4.980149,97.54942
172,100.6115,59.78951,4.975181,97.55289
176,100.8024,59.81372,4.976308,97.52513
179,100.7265,59.91083,4.981649,97.55019
176,100.5774,59.88503,4.986788,97.59353
182,100.3322,59.95033,4.975325,97.50381
178,100.6285,60.03216,4.976703,97.42534
172,100.679,60.11905,4.979237,97.43758
170,100.7002,60.11471,4.98905,97.45774
167,100.425,60.12374,4.991817,97.46919
162,100.4237,60.18608,4.986939,97.54944
160,100.3916,60.10759,4.981927,97.42455
153,100.4831,60.0312,4.982107,97.4008
144,100.4368,60.04921,4.980196,97.49941
138,100.2991,60.16823,4.980521,97.4638
134,100.202,60.21919,4.975557,97.37704
135,100.2134,60.18918,4.970307,97.31248
136,100.3174,60.18958,4.975243,97.23502
139,100.3627,60.28233,4.987606,97.15385
141,100.3217,60.29168,4.992026,97.18555
141,100.2683,60.36757,4.984873,97.20016
146,100.1862,60.33436,4.975463,97.14715
147,100.2478,60.31353,4.976813,97.10151
152,100.5054,60.33278,4.964942,97.02883
153,100.3899,60.28685,4.969296,96.97346
157,100.3709,60.28078,4.968882,96.89002
161,100.2853,60.33397,4.960689,96.841
