population,speed,health,hunger,thirst,stamina,fovRange,mating_cooldown_seconds,reproduction_time_seconds,grow_into_adult_duration_seconds
10,1.034024,108.1107,46.54052,42.92712,4.151477,23.34838,121.9425,4.362062,101.2912
10,1.034024,108.1107,46.54052,42.92712,4.151477,23.34838,121.9425,4.362062,101.2912
10,1.034024,108.1107,46.54052,42.92712,4.151477,23.34838,121.9425,4.362062,101.2912
10,1.034024,108.1107,46.54052,42.92712,4.151477,23.34838,121.9425,4.362062,101.2912
10,1.034024,108.1107,46.54052,42.92712,4.151477,23.34838,121.9425,4.362062,101.2912
10,1.034024,108.1107,46.54052,42.92712,4.151477,23.34838,121.9425,4.362062,101.2912
10,1.034024,108.1107,46.54052,42.92712,4.151477,23.34838,121.9425,4.362062,101.2912
10,1.034024,108.1107,46.54052,42.92712,4.151477,23.34838,121.9425,4.362062,101.2912
10,1.034024,108.1107,46.54052,42.92712,4.151477,23.34838,121.9425,4.362062,101.2912
9,1.035358,108.0554,48.64571,43.75352,4.017592,23.77775,121.8722,4.42587,99.66146
8,1.084278,112.066,47.57814,44.01698,3.810907,23.34597,115.5748,4.442286,95.83201
7,1.055387,115.2382,46.99456,44.45463,3.817079,22.47917,111.6091,4.410428,100.3155
8,1.037529,112.8722,46.99535,45.12618,3.551563,23.89793,118.9734,4.269763,98.45909
8,1.037529,112.8722,46.99535,45.12618,3.551563,23.89793,118.9734,4.269763,98.45909
8,1.037529,112.8722,46.99535,45.12618,3.551563,23.89793,118.9734,4.269763,98.45909
8,1.037529,112.8722,46.99535,45.12618,3.551563,23.89793,118.9734,4.269763,98.45909
8,1.037529,112.8722,46.99535,45.12618,3.551563,23.89793,118.9734,4.269763,98.45909
8,1.037529,112.8722,46.99535,45.12618,3.551563,23.89793,118.9734,4.269763,98.45909
8,1.037529,112.8722,46.99535,45.12618,3.551563,23.89793,118.9734,4.269763,98.45909
8,1.037529,112.8722,46.99535,45.12618,3.551563,23.89793,118.9734,4.269763,98.45909
8,1.037529,112.8722,46.99535,45.12618,3.551563,23.89793,118.9734,4.269763,98.45909
7,1.103791,116.3274,45.00039,45.47506,2.989164,23.99841,117.4371,4.354114,101.1908
6,1.1577,124.9999,46.26133,45.93638,3.017848,25.08997,125.2209,4.40079,94.13429
6,1.1577,124.9999,46.26133,45.93638,3.017848,25.08997,125.2209,4.40079,94.13429
6,1.1577,124.9999,46.26133,45.93638,3.017848,25.08997,125.2209,4.40079,94.13429
4,1.214234,145.0555,45.97631,48.4617,3.379255,24.88904,127.0591,4.92809,100.387
4,1.214234,145.0555,45.97631,48.4617,3.379255,24.88904,127.0591,4.92809,100.387
4,1.214234,145.0555,45.97631,48.4617,3.379255,24.88904,127.0591,4.92809,100.387
5,1.227881,131.132,43.0746,48.041,3.477811,22.38073,126.235,4.746369,100.1594
5,1.227881,131.132,43.0746,48.041,3.477811,22.38073,126.235,4.746369,100.1594
5,1.227881,131.132,43.0746,48.041,3.477811,22.38073,126.235,4.746369,100.1594
5,1.227881,131.132,43.0746,48.041,3.477811,22.38073,126.235,4.746369,100.1594
5,1.227881,131.132,43.0746,48.041,3.477811,22.38073,126.235,4.746369,100.1594
5,1.227881,131.132,43.0746,48.041,3.477811,22.38073,126.235,4.746369,100.1594
5,1.227881,131.132,43.0746,48.041,3.477811,22.38073,126.235,4.746369,100.1594
5,1.227881,131.132,43.0746,48.041,3.477811,22.38073,126.235,4.746369,100.1594
5,1.227881,131.132,43.0746,48.041,3.477811,22.38073,126.235,4.746369,100.1594
5,1.227881,131.132,43.0746,48.041,3.477811,22.38073,126.235,4.746369,100.1594
5,1.227881,131.132,43.0746,48.041,3.477811,22.38073,126.235,4.746369,100.1594
4,1.214234,145.0555,45.97631,48.4617,3.379255,24.88904,127.0591,4.92809,100.387
4,1.214234,145.0555,45.97631,48.4617,3.379255,24.88904,127.0591,4.92809,100.387
4,1.214234,145.0555,45.97631,48.4617,3.379255,24.88904,127.0591,4.92809,100.387
4,1.214234,145.0555,45.97631,48.4617,3.379255,24.88904,127.0591,4.92809,100.387
4,1.214234,145.0555,45.97631,48.4617,3.379255,24.88904,127.0591,4.92809,100.387
4,1.214234,145.0555,45.97631,48.4617,3.379255,24.88904,127.0591,4.92809,100.387
4,1.214234,145.0555,45.97631,48.4617,3.379255,24.88904,127.0591,4.92809,100.387
4,1.214234,145.0555,45.97631,48.4617,3.379255,24.88904,127.0591,4.92809,100.387
4,1.214234,145.0555,45.97631,48.4617,3.379255,24.88904,127.0591,4.92809,100.387
4,1.214234,145.0555,45.97631,48.4617,3.379255,24.88904,127.0591,4.92809,100.387
4,1.214234,145.0555,45.97631,48.4617,3.379255,24.88904,127.0591,4.92809,100.387
4,1.214234,145.0555,45.97631,48.4617,3.379255,24.88904,127.0591,4.92809,100.387
4,1.214234,145.0555,45.97631,48.4617,3.379255,24.88904,127.0591,4.92809,100.387
4,1.214234,145.0555,45.97631,48.4617,3.379255,24.88904,127.0591,4.92809,100.387
4,1.214234,145.0555,45.97631,48.4617,3.379255,24.88904,127.0591,4.92809,100.387
4,1.214234,145.0555,45.97631,48.4617,3.379255,24.88904,127.0591,4.92809,100.387
4,1.214234,145.0555,45.97631,48.4617,3.379255,24.88904,127.0591,4.92809,100.387
4,1.214234,145.0555,45.97631,48.4617,3.379255,24.88904,127.0591,4.92809,100.387
4,1.214234,145.0555,45.97631,48.4617,3.379255,24.88904,127.0591,4.92809,100.387
4,1.214234,145.0555,45.97631,48.4617,3.379255,24.88904,127.0591,4.92809,100.387
4,1.214234,145.0555,45.97631,48.4617,3.379255,24.88904,127.0591,4.92809,100.387
4,1.214234,145.0555,45.97631,48.4617,3.379255,24.88904,127.0591,4.92809,100.387
4,1.214234,145.0555,45.97631,48.4617,3.379255,24.88904,127.0591,4.92809,100.387
4,1.214234,145.0555,45.97631,48.4617,3.379255,24.88904,127.0591,4.92809,100.387
5,1.322598,154.1497,41.00773,51.33358,3.408396,26.27744,130.7189,4.850765,110.9444
5,1.322598,154.1497,41.00773,51.33358,3.408396,26.27744,130.7189,4.850765,110.9444
5,1.322598,154.1497,41.00773,51.33358,3.408396,26.27744,130.7189,4.850765,110.9444
5,1.322598,154.1497,41.00773,51.33358,3.408396,26.27744,130.7189,4.850765,110.9444
5,1.322598,154.1497,41.00773,51.33358,3.408396,26.27744,130.7189,4.850765,110.9444
5,1.322598,154.1497,41.00773,51.33358,3.408396,26.27744,130.7189,4.850765,110.9444
5,1.322598,154.1497,41.00773,51.33358,3.408396,26.27744,130.7189,4.850765,110.9444
5,1.322598,154.1497,41.00773,51.33358,3.408396,26.27744,130.7189,4.850765,110.9444
5,1.322598,154.1497,41.00773,51.33358,3.408396,26.27744,130.7189,4.850765,110.9444
5,1.322598,154.1497,41.00773,51.33358,3.408396,26.27744,130.7189,4.850765,110.9444
5,1.322598,154.1497,41.00773,51.33358,3.408396,26.27744,130.7189,4.850765,110.9444
5,1.322598,154.1497,41.00773,51.33358,3.408396,26.27744,130.7189,4.850765,110.9444
5,1.322598,154.1497,41.00773,51.33358,3.408396,26.27744,130.7189,4.850765,110.9444
5,1.322598,154.1497,41.00773,51.33358,3.408396,26.27744,130.7189,4.850765,110.9444
6,1.313371,159.6672,41.54927,47.57194,3.160942,26.80232,146.399,4.511497,114.0606
6,1.313371,159.6672,41.54927,47.57194,3.160942,26.80232,146.399,4.511497,114.0606
6,1.313371,159.6672,41.54927,47.57194,3.160942,26.80232,146.399,4.511497,114.0606
6,1.313371,159.6672,41.54927,47.57194,3.160942,26.80232,146.399,4.511497,114.0606
6,1.313371,159.6672,41.54927,47.57194,3.160942,26.80232,146.399,4.511497,114.0606
6,1.313371,159.6672,41.54927,47.57194,3.160942,26.80232,146.399,4.511497,114.0606
6,1.313371,159.6672,41.54927,47.57194,3.160942,26.80232,146.399,4.511497,114.0606
6,1.313371,159.6672,41.54927,47.57194,3.160942,26.80232,146.399,4.511497,114.0606
6,1.313371,159.6672,41.54927,47.57194,3.160942,26.80232,146.399,4.511497,114.0606
7,1.306539,157.7818,42.34795,47.75017,3.081198,29.76856,137.4792,4.351221,122.0738
7,1.306539,157.7818,42.34795,47.75017,3.081198,29.76856,137.4792,4.351221,122.0738
7,1.306539,157.7818,42.34795,47.75017,3.081198,29.76856,137.4792,4.351221,122.0738
7,1.306539,157.7818,42.34795,47.75017,3.081198,29.76856,137.4792,4.351221,122.0738
7,1.306539,157.7818,42.34795,47.75017,3.081198,29.76856,137.4792,4.351221,122.0738
7,1.306539,157.7818,42.34795,47.75017,3.081198,29.76856,137.4792,4.351221,122.0738
7,1.306539,157.7818,42.34795,47.75017,3.081198,29.76856,137.4792,4.351221,122.0738
7,1.306539,157.7818,42.34795,47.75017,3.081198,29.76856,137.4792,4.351221,122.0738
7,1.306539,157.7818,42.34795,47.75017,3.081198,29.76856,137.4792,4.351221,122.0738
7,1.306539,157.7818,42.34795,47.75017,3.081198,29.76856,137.4792,4.351221,122.0738
7,1.306539,157.7818,42.34795,47.75017,3.081198,29.76856,137.4792,4.351221,122.0738
7,1.306539,157.7818,42.34795,47.75017,3.081198,29.76856,137.4792,4.351221,122.0738
7,1.306539,157.7818,42.34795,47.75017,3.081198,29.76856,137.4792,4.351221,122.0738
7,1.306539,157.7818,42.34795,47.75017,3.081198,29.76856,137.4792,4.351221,122.0738
