population,time,speed,maxHealth,maxHunger,maxThirst,maxStamina,maxReproductiveSatisfaction,fovRange,matingCooldownSeconds,reproductionTimeSeconds,growIntoAdultDurationSeconds,expectedAge,species
400,1,1.000977,202.5959,201.2856,198.1385,10.04275,149.5264,29.93451,19.90369,4.988222,19.96302,755.8267,Deer
400,2,1.000977,202.5959,201.2856,198.1385,10.04275,149.5264,29.93451,19.90369,4.988222,19.96302,755.8267,Deer
400,3,1.000977,202.5959,201.2856,198.1385,10.04275,149.5264,29.93451,19.90369,4.988222,19.96302,755.8267,Deer
401,4,1.001801,202.4299,201.1509,198.1803,10.0433,149.4764,29.94542,19.88716,4.994896,19.96705,756.3823,Deer
401,5,1.001801,202.4299,201.1509,198.1803,10.0433,149.4764,29.94542,19.88716,4.994896,19.96705,756.3823,Deer
402,6,1.002314,202.3992,201.1844,198.1483,10.04636,149.4454,29.96181,19.89349,4.995385,19.9649,756.2742,Deer
403,7,1.001966,202.3781,201.2652,198.1754,10.04717,149.3076,29.93485,19.88692,4.995261,19.9602,756.2853,Deer
398,8,1.001034,201.9901,200.9847,198.2915,10.04589,149.3141,29.96385,19.9301,4.995171,19.96062,755.5342,Deer
398,9,1.001034,201.9901,200.9847,198.2915,10.04589,149.3141,29.96385,19.9301,4.995171,19.96062,755.5342,Deer
399,10,1.000944,202.0853,201.0996,198.2361,10.0557,149.3924,29.98627,19.94947,4.991066,19.97886,755.3307,Deer
399,11,1.000944,202.0853,201.0996,198.2361,10.0557,149.3924,29.98627,19.94947,4.991066,19.97886,755.3307,Deer
399,12,1.000944,202.0853,201.0996,198.2361,10.0557,149.3924,29.98627,19.94947,4.991066,19.97886,755.3307,Deer
30,1,0.9828462,194.7997,791.2898,791.6579,10.49744,784.6545,31.11387,60.74982,4.983609,30.4795,770.0264,Bear
30,2,0.9828462,194.7997,791.2898,791.6579,10.49744,784.6545,31.11387,60.74982,4.983609,30.4795,770.0264,Bear
30,3,0.9828462,194.7997,791.2898,791.6579,10.49744,784.6545,31.11387,60.74982,4.983609,30.4795,770.0264,Bear
30,4,0.9828462,194.7997,791.2898,791.6579,10.49744,784.6545,31.11387,60.74982,4.983609,30.4795,770.0264,Bear
30,5,0.9828462,194.7997,791.2898,791.6579,10.49744,784.6545,31.11387,60.74982,4.983609,30.4795,770.0264,Bear
30,6,0.9828462,194.7997,791.2898,791.6579,10.49744,784.6545,31.11387,60.74982,4.983609,30.4795,770.0264,Bear
30,7,0.9828462,194.7997,791.2898,791.6579,10.49744,784.6545,31.11387,60.74982,4.983609,30.4795,770.0264,Bear
30,8,0.9828462,194.7997,791.2898,791.6579,10.49744,784.6545,31.11387,60.74982,4.983609,30.4795,770.0264,Bear
30,9,0.9828462,194.7997,791.2898,791.6579,10.49744,784.6545,31.11387,60.74982,4.983609,30.4795,770.0264,Bear
30,10,0.9828462,194.7997,791.2898,791.6579,10.49744,784.6545,31.11387,60.74982,4.983609,30.4795,770.0264,Bear
30,11,0.9828462,194.7997,791.2898,791.6579,10.49744,784.6545,31.11387,60.74982,4.983609,30.4795,770.0264,Bear
30,12,0.9828462,194.7997,791.2898,791.6579,10.49744,784.6545,31.11387,60.74982,4.983609,30.4795,770.0264,Bear
400,13,1.001417,201.9976,200.9967,198.1731,10.04661,149.4907,29.97093,19.94618,4.991753,19.99434,755.1895,Deer
399,14,0.9998814,201.953,200.9895,198.0661,10.04637,149.3562,29.96514,19.95039,4.99095,20.01261,754.2161,Deer
399,15,0.9998814,201.953,200.9895,198.0661,10.04637,149.3562,29.96514,19.95039,4.99095,20.01261,754.2161,Deer
400,16,0.9995797,201.8719,200.9384,197.9438,10.0436,149.4135,29.94965,19.9435,4.986714,20.02491,754.1119,Deer
403,17,0.9998105,201.4751,200.9396,197.8179,10.02857,149.2225,29.97558,19.95175,4.982931,20.04748,753.6553,Deer
405,18,1.000612,201.2198,200.8839,197.722,10.02905,149.2326,29.96667,19.94005,4.979335,20.08023,754.067,Deer
408,19,1.000439,201.3021,200.6662,197.9225,10.01408,149.3137,29.9284,19.9664,4.984641,20.10498,754.7986,Deer
407,20,1.002133,201.1326,200.9413,197.8796,10.01678,149.0682,29.93756,20.00158,4.972784,20.15474,755.9991,Deer
409,21,1.003243,201.2663,200.9628,197.8187,10.01604,148.9768,29.95681,19.99823,4.97042,20.15362,755.9039,Deer
411,22,1.003554,201.1672,201.1109,197.7059,10.03168,148.9565,29.96599,19.98826,4.966004,20.15346,755.4421,Deer
415,23,1.003154,200.9423,200.7806,197.8771,10.03574,148.8841,29.96523,19.99673,4.970543,20.16236,754.8363,Deer
417,24,1.003061,201.0985,200.8242,197.8711,10.02945,148.9967,30.01165,20.00583,4.971852,20.16397,754.2868,Deer
30,13,0.9828462,194.7997,791.2898,791.6579,10.49744,784.6545,31.11387,60.74982,4.983609,30.4795,770.0264,Bear
30,14,0.9828462,194.7997,791.2898,791.6579,10.49744,784.6545,31.11387,60.74982,4.983609,30.4795,770.0264,Bear
30,15,0.9828462,194.7997,791.2898,791.6579,10.49744,784.6545,31.11387,60.74982,4.983609,30.4795,770.0264,Bear
30,16,0.9828462,194.7997,791.2898,791.6579,10.49744,784.6545,31.11387,60.74982,4.983609,30.4795,770.0264,Bear
30,17,0.9828462,194.7997,791.2898,791.6579,10.49744,784.6545,31.11387,60.74982,4.983609,30.4795,770.0264,Bear
30,18,0.9828462,194.7997,791.2898,791.6579,10.49744,784.6545,31.11387,60.74982,4.983609,30.4795,770.0264,Bear
30,19,0.9828462,194.7997,791.2898,791.6579,10.49744,784.6545,31.11387,60.74982,4.983609,30.4795,770.0264,Bear
30,20,0.9828462,194.7997,791.2898,791.6579,10.49744,784.6545,31.11387,60.74982,4.983609,30.4795,770.0264,Bear
30,21,0.9828462,194.7997,791.2898,791.6579,10.49744,784.6545,31.11387,60.74982,4.983609,30.4795,770.0264,Bear
30,22,0.9828462,194.7997,791.2898,791.6579,10.49744,784.6545,31.11387,60.74982,4.983609,30.4795,770.0264,Bear
30,23,0.9828462,194.7997,791.2898,791.6579,10.49744,784.6545,31.11387,60.74982,4.983609,30.4795,770.0264,Bear
30,24,0.9828462,194.7997,791.2898,791.6579,10.49744,784.6545,31.11387,60.74982,4.983609,30.4795,770.0264,Bear
420,25,1.003579,200.9943,200.8053,197.9637,10.02723,148.9259,30.02595,19.99216,4.967365,20.17295,754.9388,Deer
414,26,1.003456,201.3566,200.9997,197.8334,10.02911,149.1691,30.06462,19.9256,4.978199,20.1762,757.2264,Deer
415,27,1.003281,201.5721,200.9753,197.9109,10.03271,149.1361,30.06269,19.92579,4.97592,20.18738,757.4141,Deer
420,28,1.003392,201.6093,201.187,197.9097,10.02673,149.225,30.07013,19.91727,4.973227,20.16741,756.598,Deer
427,29,1.003395,201.6803,201.2855,198.0514,10.01334,149.0618,30.04522,19.91222,4.978574,20.16951,756.5503,Deer
427,30,1.003577,201.5724,201.334,197.96,10.01263,149.019,30.02708,19.90801,4.976818,20.15408,757.3475,Deer
425,31,1.00331,201.589,201.2959,197.9806,10.01499,149.094,30.01115,19.90678,4.978468,20.16028,756.9658,Deer
392,32,1.002065,201.9392,202.8945,199.0351,10.02835,149.2087,30.02166,19.9137,4.97817,20.1476,755.8546,Deer
356,33,1.001329,201.7044,204.3922,200.5343,10.03861,148.8118,30.11287,19.88926,4.983058,20.20336,755.879,Deer
335,34,1.00093,201.9002,204.4808,202.1463,10.03208,149.0001,30.17099,19.92506,4.979558,20.20908,755.5914,Deer
289,35,1.000403,201.9252,205.6491,204.8532,10.04958,149.5155,30.21977,19.94868,4.956312,20.23356,755.8635,Deer
269,36,1.005019,201.8336,206.4177,205.6984,10.08053,149.8421,30.1484,19.8885,4.9818,20.25626,756.582,Deer
30,25,0.9828462,194.7997,791.2898,791.6579,10.49744,784.6545,31.11387,60.74982,4.983609,30.4795,770.0264,Bear
30,26,0.9828462,194.7997,791.2898,791.6579,10.49744,784.6545,31.11387,60.74982,4.983609,30.4795,770.0264,Bear
30,27,0.9828462,194.7997,791.2898,791.6579,10.49744,784.6545,31.11387,60.74982,4.983609,30.4795,770.0264,Bear
30,28,0.9828462,194.7997,791.2898,791.6579,10.49744,784.6545,31.11387,60.74982,4.983609,30.4795,770.0264,Bear
30,29,0.9828462,194.7997,791.2898,791.6579,10.49744,784.6545,31.11387,60.74982,4.983609,30.4795,770.0264,Bear
30,30,0.9828462,194.7997,791.2898,791.6579,10.49744,784.6545,31.11387,60.74982,4.983609,30.4795,770.0264,Bear
30,31,0.9828462,194.7997,791.2898,791.6579,10.49744,784.6545,31.11387,60.74982,4.983609,30.4795,770.0264,Bear
29,32,0.9862455,193.5715,792.3705,795.9946,10.51987,786.1478,31.31944,60.8702,5.009273,30.39447,769.7689,Bear
