population,speed,health,hunger,thirst,stamina,fovRange,mating_cooldown_seconds,reproduction_time_seconds,grow_into_adult_duration_seconds
124,2.094001,92.17982,50.87297,50.59143,5.080415,19.92726,128.9572,4.726558,119.1601
154,2.092563,91.56126,49.58191,49.63234,4.962632,19.92239,127.9084,4.809681,119.1265
150,2.090411,92.01112,50.12989,49.91492,4.919234,19.88462,128.2242,4.769594,119.7279
145,2.072139,92.13675,50.00757,49.73766,4.892812,19.93071,129.0915,4.729969,119.3451
145,2.072139,92.13675,50.00757,49.73766,4.892812,19.93071,129.0915,4.729969,119.3451
142,2.085528,91.93847,50.46501,50.03883,4.882305,20.01241,128.3038,4.747505,119.8874
137,2.080002,92.9906,51.10946,50.44799,4.88872,20.01367,127.5257,4.717511,119.6884
129,2.088698,93.76988,51.34855,50.90607,4.926114,20.00147,128.9472,4.814068,120.9662
115,2.113688,95.37094,52.47457,52.56942,4.944182,20.06247,130.5596,4.824351,119.8647
101,2.088009,97.73366,53.45489,53.41521,4.920691,19.68535,132.209,4.873845,118.1404
81,2.084513,101.8327,53.96091,55.83346,4.856496,19.28419,138.5408,4.798349,117.608
66,2.060181,100.2777,54.94095,56.35309,4.915053,18.60308,138.1474,4.717299,114.5545
64,2.11582,99.36728,55.56907,56.57906,4.930483,18.87177,141.0679,4.66454,115.5711
60,2.131562,102.4383,56.32646,58.30701,4.969267,19.27302,140.7304,4.620583,113.745
53,2.131483,101.9127,57.07635,58.57716,4.750917,19.4801,139.5734,4.456965,114.6355
53,2.125191,104.9549,57.74735,59.61599,4.751057,19.64608,138.1919,4.539969,111.3587
52,2.151702,103.2164,57.7316,59.96339,4.618493,19.65524,136.3656,4.638412,108.9682
57,2.071079,102.9804,56.07117,59.86353,4.644052,19.38987,131.9538,4.704509,109.6219
58,2.051756,102.9382,56.97904,59.88688,4.709981,19.52754,131.3982,4.666043,109.5447
63,1.975074,105.3737,57.15536,60.62661,4.636769,19.84437,132.109,4.698835,108.9211
63,2.011715,104.5405,57.16461,61.32499,4.526922,20.60364,131.1291,4.766568,108.1089
64,1.999422,103.7028,57.96105,61.17056,4.551314,20.83958,131.0127,4.835154,109.331
65,2.017892,103.6775,57.22077,61.82999,4.551565,20.8931,129.9734,4.816166,106.7468
64,2.047191,102.3585,57.08611,62.12611,4.586179,21.09727,130.7778,4.823911,107.7262
67,2.155647,100.1,58.12857,61.78587,4.600987,21.18753,127.9433,4.795907,108.925
66,2.175708,100.7423,58.27839,61.3661,4.632957,21.20421,128.5249,4.797766,108.5375
67,2.168311,101.6652,58.80042,61.01674,4.606966,21.09683,127.5274,4.785635,108.9453
69,2.126215,103.0676,58.66619,60.93678,4.453367,20.81561,125.6168,4.750748,107.217
