population,time,deathsByAge,deathsByHunger,deathsByThirst,deathsByHunt,deathsTotal,births,speed,size,hungerDecreaseFactor,thirstDecreaseFactor,staminaDecreaseFactor,gestationDuration,durationBetweenPregnancies,fovRange,growIntoAdultDurationSeconds,expectedAge,species
150,1,0,0,0,0,0,0,1.217978,1.205684,0.33,0.29,4,3,3,30,17,750,Deer
150,2,0,0,0,0,0,0,1.217978,1.205684,0.33,0.29,4,3,3,30,17,750,Deer
153,3,0,0,0,0,0,3,1.219529,1.205763,0.33,0.29,4,3,3,30,17,750,Deer
169,4,0,0,0,0,0,16,1.217705,1.210439,0.33,0.29,4,3,3,30,17,750,Deer
178,5,0,0,0,0,0,9,1.215223,1.21647,0.33,0.29,4,3,3,30,17,750,Deer
182,6,0,0,0,0,0,4,1.218521,1.217365,0.33,0.29,4,3,3,30,17,750,Deer
189,7,0,0,0,0,0,7,1.221054,1.21516,0.33,0.29,4,3,3,30,17,750,Deer
197,8,0,0,0,0,0,8,1.221877,1.212255,0.33,0.29,4,3,3,30,17,750,Deer
205,9,0,0,0,0,0,8,1.222052,1.211565,0.33,0.29,4,3,3,30,17,750,Deer
217,10,0,0,0,0,0,12,1.219289,1.210389,0.33,0.29,4,3,3,30,17,750,Deer
221,11,0,0,0,0,0,4,1.219553,1.211208,0.33,0.29,4,3,3,30,17,750,Deer
233,12,0,0,0,0,0,12,1.223429,1.216055,0.33,0.29,4,3,3,30,17,750,Deer
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
240,13,2,0,0,0,2,7,1.217329,1.21492,0.33,0.29,4,3,3,30,17,750,Deer
245,14,0,0,0,0,0,7,1.214342,1.217481,0.33,0.29,4,3,3,30,17,750,Deer
251,15,0,0,0,0,0,6,1.219101,1.221654,0.33,0.29,4,3,3,30,17,750,Deer
252,16,1,0,0,0,1,2,1.216007,1.221753,0.33,0.29,4,3,3,30,17,750,Deer
255,17,0,0,0,0,0,3,1.216459,1.221309,0.33,0.29,4,3,3,30,17,750,Deer
263,18,0,0,0,0,0,8,1.217706,1.224214,0.33,0.29,4,3,3,30,17,750,Deer
272,19,2,0,0,0,2,9,1.230802,1.227181,0.33,0.29,4,3,3,30,17,750,Deer
277,20,0,0,0,0,0,7,1.226493,1.231791,0.33,0.29,4,3,3,30,17,750,Deer
285,21,0,0,0,0,0,8,1.227659,1.235198,0.33,0.29,4,3,3,30,17,750,Deer
295,22,0,0,0,0,0,10,1.230296,1.232618,0.33,0.29,4,3,3,30,17,750,Deer
308,23,0,0,0,0,0,13,1.224768,1.24431,0.33,0.29,4,3,3,30,17,750,Deer
316,24,0,0,0,0,0,8,1.22062,1.244327,0.33,0.29,4,3,3,30,17,750,Deer
0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
324,25,3,0,0,0,3,8,1.224885,1.24426,0.33,0.29,4,3,3,30,17,750,Deer
326,26,0,0,0,0,0,5,1.224844,1.246583,0.33,0.29,4,3,3,30,17,750,Deer
331,27,0,0,0,0,0,5,1.221788,1.248772,0.33,0.29,4,3,3,30,17,750,Deer
333,28,1,0,0,0,1,3,1.222141,1.252512,0.33,0.29,4,3,3,30,17,750,Deer
341,29,0,0,0,0,0,8,1.22577,1.256757,0.33,0.29,4,3,3,30,17,750,Deer
342,30,0,0,0,0,0,1,1.224653,1.256331,0.33,0.29,4,3,3,30,17,750,Deer
340,31,4,0,0,0,4,2,1.223359,1.256611,0.33,0.29,4,3,3,30,17,750,Deer
342,32,0,0,0,0,0,2,1.221835,1.262271,0.33,0.29,4,3,3,30,17,750,Deer
343,33,1,0,0,0,1,1,1.221487,1.263545,0.33,0.29,4,3,3,30,17,750,Deer
345,34,0,0,0,0,0,3,1.223049,1.262126,0.33,0.29,4,3,3,30,17,750,Deer
344,35,1,1,1,0,2,0,1.223764,1.261527,0.33,0.29,4,3,3,30,17,750,Deer
343,36,0,1,1,0,1,1,1.223398,1.262985,0.33,0.29,4,3,3,30,17,750,Deer
0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
342,37,2,0,0,0,2,1,1.223798,1.264135,0.33,0.29,4,3,3,30,17,750,Deer
341,38,1,0,0,0,1,0,1.220856,1.264784,0.33,0.29,4,3,3,30,17,750,Deer
341,39,0,0,0,0,0,0,1.220856,1.264784,0.33,0.29,4,3,3,30,17,750,Deer
340,40,1,2,2,0,3,2,1.220463,1.268432,0.33,0.29,4,3,3,30,17,750,Deer
342,41,0,1,1,0,1,3,1.22201,1.269592,0.33,0.29,4,3,3,30,17,750,Deer
341,42,0,1,1,0,1,0,1.22207,1.270544,0.33,0.29,4,3,3,30,17,750,Deer
336,43,3,2,2,0,5,0,1.222044,1.272111,0.33,0.29,4,3,3,30,17,750,Deer
336,44,1,0,0,0,1,0,1.222044,1.272111,0.33,0.29,4,3,3,30,17,750,Deer
332,45,2,1,1,0,3,0,1.224138,1.272746,0.33,0.29,4,3,3,30,17,750,Deer
332,46,0,0,0,0,0,0,1.224138,1.272746,0.33,0.29,4,3,3,30,17,750,Deer
330,47,0,1,2,0,2,0,1.224793,1.274662,0.33,0.29,4,3,3,30,17,750,Deer
331,48,0,3,3,0,3,3,1.224955,1.277852,0.33,0.29,4,3,3,30,17,750,Deer
0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
322,49,6,1,2,0,8,0,1.224831,1.281964,0.33,0.29,4,3,3,30,17,750,Deer
323,50,0,0,0,0,0,1,1.225127,1.282452,0.33,0.29,4,3,3,30,17,750,Deer
321,51,0,3,4,0,4,0,1.224928,1.283768,0.33,0.29,4,3,3,30,17,750,Deer
319,52,0,4,4,0,4,2,1.216636,1.286285,0.33,0.29,4,3,3,30,17,750,Deer
315,53,0,2,2,0,2,0,1.214824,1.289694,0.33,0.29,4,3,3,30,17,750,Deer
312,54,1,2,3,0,4,0,1.214347,1.291468,0.33,0.29,4,3,3,30,17,750,Deer
307,55,3,2,2,0,5,1,1.213067,1.295012,0.33,0.29,4,3,3,30,17,750,Deer
300,56,3,5,6,0,9,1,1.210528,1.299507,0.33,0.29,4,3,3,30,17,750,Deer
299,57,3,3,4,0,7,6,1.212105,1.302004,0.33,0.29,4,3,3,30,17,750,Deer
294,58,3,5,6,0,9,1,1.213942,1.304147,0.33,0.29,4,3,3,30,17,750,Deer
288,59,0,3,4,0,4,1,1.210927,1.308318,0.33,0.29,4,3,3,30,17,750,Deer
285,60,0,2,2,0,2,0,1.210866,1.311039,0.33,0.29,4,3,3,30,17,750,Deer
0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
282,61,1,5,5,0,6,1,1.208789,1.314018,0.33,0.29,4,3,3,30,17,750,Deer
278,62,0,3,3,0,3,0,1.207918,1.316927,0.33,0.29,4,3,3,30,17,750,Deer
271,63,0,8,10,0,10,2,1.200443,1.321649,0.33,0.29,4,3,3,30,17,750,Deer
267,64,2,3,4,0,6,3,1.20186,1.325067,0.33,0.29,4,3,3,30,17,750,Deer
265,65,0,5,5,0,6,3,1.197667,1.327776,0.33,0.29,4,3,3,30,17,750,Deer
261,66,1,4,5,0,6,2,1.198086,1.330496,0.33,0.29,4,3,3,30,17,750,Deer
253,67,3,3,2,0,7,0,1.196651,1.332684,0.33,0.29,4,3,3,30,17,750,Deer
250,68,0,5,5,0,5,2,1.193632,1.343163,0.33,0.29,4,3,3,30,17,750,Deer
240,69,4,6,6,0,11,0,1.193312,1.349182,0.33,0.29,4,3,3,30,17,750,Deer
237,70,0,5,6,0,6,4,1.189519,1.35638,0.33,0.29,4,3,3,30,17,750,Deer
234,71,0,4,6,0,6,4,1.197881,1.36135,0.33,0.29,4,3,3,30,17,750,Deer
236,72,2,4,3,0,6,7,1.189852,1.35931,0.33,0.29,4,3,3,30,17,750,Deer
0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
