population,time,deathsByAge,deathsByHunger,deathsByThirst,deathsByHunt,deathsTotal,births,speed,size,hungerDecreaseFactor,thirstDecreaseFactor,staminaDecreaseFactor,staminaIncreaseFactor,gestationDuration,durationBetweenPregnancies,fovRange,growIntoAdultDurationSeconds,expectedAge,maxSpeed,minSpeed,maxSize,minSize,species
150,1,0,0,0,0,0,0,1.204158,1.210845,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
150,2,0,0,0,0,0,0,1.204158,1.210845,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
150,3,0,0,0,0,0,0,1.204158,1.210845,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
151,4,0,0,0,0,0,1,1.20612,1.211126,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
152,5,0,0,0,0,0,1,1.205617,1.210242,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
154,6,0,0,0,0,0,2,1.20595,1.206802,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
154,7,0,0,0,0,0,0,1.20595,1.206802,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
154,8,0,0,0,0,0,0,1.20595,1.206802,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
158,9,0,0,0,0,0,4,1.207115,1.207805,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
165,10,0,0,0,0,0,7,1.205623,1.217289,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
168,11,0,0,0,0,0,3,1.205241,1.218954,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
172,12,0,0,0,0,0,4,1.202893,1.220802,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
172,13,1,0,0,0,1,1,1.20638,1.223972,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
174,14,0,0,0,0,0,2,1.203579,1.221433,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
180,15,0,0,0,0,0,6,1.214997,1.217296,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
191,16,0,0,0,0,0,11,1.226453,1.223708,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
202,17,0,0,0,0,0,11,1.230335,1.221784,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
208,18,0,0,0,0,0,6,1.234967,1.223359,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
210,19,3,0,0,0,3,5,1.233175,1.221514,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
220,20,0,0,0,0,0,10,1.22464,1.220686,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
226,21,0,0,0,0,0,6,1.22246,1.223692,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
237,22,0,0,0,0,0,11,1.230657,1.229429,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
246,23,1,0,0,0,1,9,1.224925,1.231364,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
255,24,1,0,0,0,1,11,1.22623,1.237312,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
270,25,3,0,0,0,3,18,1.222204,1.243981,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
283,26,0,0,0,0,0,13,1.222631,1.245633,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
292,27,0,0,0,0,0,9,1.223832,1.249097,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
296,28,1,0,0,0,1,5,1.222385,1.245308,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
303,29,1,0,0,0,1,7,1.222133,1.247767,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
314,30,0,0,0,0,0,12,1.213267,1.253708,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
327,31,2,0,0,0,2,15,1.212115,1.266796,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
