population,time,deathsByAge,deathsByHunger,deathsByThirst,deathsByHunt,deathsTotal,births,speed,size,hungerDecreaseFactor,thirstDecreaseFactor,staminaDecreaseFactor,staminaIncreaseFactor,gestationDuration,durationBetweenPregnancies,fovRange,growIntoAdultDurationSeconds,expectedAge,averageNumberOfChildren,maxSpeed,minSpeed,maxSize,minSize,species
100,5,0,0,0,0,0,0,0.9885898,1.031211,0.5,0.3,3,1,48,39,30,87,525,3,5,0.1,3,0.1,Deer
100,10,0,0,0,0,0,0,0.9885898,1.031211,0.5,0.3,3,1,48,39,30,87,525,3,5,0.1,3,0.1,Deer
100,15,0,0,0,0,0,0,0.9885898,1.031211,0.5,0.3,3,1,48,39,30,87,525,3,5,0.1,3,0.1,Deer
100,20,0,0,0,0,0,0,0.9885898,1.031211,0.5,0.3,3,1,48,39,30,87,525,3,5,0.1,3,0.1,Deer
100,25,0,0,0,0,0,0,0.9885898,1.031211,0.5,0.3,3,1,48,39,30,87,525,3,5,0.1,3,0.1,Deer
100,30,0,0,0,0,0,0,0.9885898,1.031211,0.5,0.3,3,1,48,39,30,87,525,3,5,0.1,3,0.1,Deer
99,35,1,0,0,0,1,0,0.9862559,1.033049,0.5,0.3,3,1,48,39,30,87,525,3,5,0.1,3,0.1,Deer
99,40,0,0,0,0,0,0,0.9862559,1.033049,0.5,0.3,3,1,48,39,30,87,525,3,5,0.1,3,0.1,Deer
99,45,0,0,0,0,0,0,0.9862559,1.033049,0.5,0.3,3,1,48,39,30,87,525,3,5,0.1,3,0.1,Deer
99,50,0,0,0,0,0,0,0.9862559,1.033049,0.5,0.3,3,1,48,39,30,87,525,3,5,0.1,3,0.1,Deer
99,55,0,0,0,0,0,0,0.9862559,1.033049,0.5,0.3,3,1,48,39,30,87,525,3,5,0.1,3,0.1,Deer
122,60,0,0,0,0,0,23,0.9775178,1.021949,0.5,0.3,3,1,48,39,30,87,525,3,5,0.1,3,0.1,Deer
300,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
300,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
300,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
