population,time,deathsByAge,deathsByHunger,deathsByThirst,deathsByHunt,deathsTotal,births,speed,size,hungerDecreaseFactor,thirstDecreaseFactor,staminaDecreaseFactor,staminaIncreaseFactor,gestationDuration,durationBetweenPregnancies,fovRange,growIntoAdultDurationSeconds,expectedAge,maxSpeed,minSpeed,maxSize,minSize,species
150,1,0,0,0,0,0,0,1.204158,1.210845,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
150,2,0,0,0,0,0,0,1.204158,1.210845,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
150,3,0,0,0,0,0,0,1.204158,1.210845,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
151,4,0,0,0,0,0,1,1.2042,1.2119,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
152,5,0,0,0,0,0,1,1.202509,1.210797,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
153,6,0,0,0,0,0,1,1.206141,1.209603,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
154,7,1,0,0,0,1,2,1.2058,1.208364,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
154,8,0,0,0,0,0,0,1.2058,1.208364,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
157,9,0,0,0,0,0,3,1.207213,1.205758,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
165,10,0,0,0,0,0,8,1.205125,1.208113,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
167,11,0,0,0,0,0,2,1.206552,1.210189,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
167,12,0,0,0,0,0,0,1.206552,1.210189,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
166,13,1,0,0,0,1,0,1.205198,1.211836,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
167,14,0,0,0,0,0,1,1.207014,1.21157,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
169,15,0,0,0,0,0,2,1.206496,1.212599,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
171,16,0,0,0,0,0,2,1.210213,1.212006,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
172,17,0,0,0,0,0,1,1.21062,1.209279,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
176,18,0,0,0,0,0,4,1.215294,1.207563,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
176,19,2,0,0,0,2,2,1.218829,1.207978,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
178,20,0,0,0,0,0,2,1.216428,1.210328,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
184,21,0,0,0,0,0,6,1.215687,1.213467,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
198,22,0,0,0,0,0,14,1.213944,1.215999,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
212,23,0,0,0,0,0,14,1.221869,1.222687,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
220,24,0,0,0,0,0,8,1.222987,1.224392,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
230,25,4,0,0,0,4,14,1.224907,1.22481,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
230,26,0,0,0,0,0,0,1.224907,1.22481,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
235,27,0,0,0,0,0,5,1.221378,1.223227,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
238,28,0,0,0,0,0,3,1.222497,1.222203,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
247,29,0,0,0,0,0,9,1.228197,1.229245,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
263,30,0,0,0,0,0,16,1.227766,1.227153,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
271,31,2,0,0,0,2,10,1.228281,1.229174,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
