population,time,deathsByAge,deathsByHunger,deathsByThirst,deathsByHunt,deathsTotal,births,speed,size,hungerDecreaseFactor,thirstDecreaseFactor,staminaDecreaseFactor,staminaIncreaseFactor,gestationDuration,durationBetweenPregnancies,fovRange,growIntoAdultDurationSeconds,expectedAge,maxSpeed,minSpeed,maxSize,minSize,species
150,1,0,0,0,0,0,0,1.204158,1.210845,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
150,2,0,0,0,0,0,0,1.204158,1.210845,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
150,3,0,0,0,0,0,0,1.204158,1.210845,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
151,4,0,0,0,0,0,1,1.207423,1.209109,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
154,5,0,0,0,0,0,3,1.20656,1.210389,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
154,6,0,0,0,0,0,0,1.20656,1.210389,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
155,7,0,0,0,0,0,1,1.205989,1.211366,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
156,8,0,0,0,0,0,1,1.204661,1.210206,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
157,9,0,0,0,0,0,1,1.20383,1.209725,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
162,10,0,0,0,0,0,5,1.207503,1.206938,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
163,11,0,0,0,0,0,1,1.207299,1.209927,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
164,12,0,0,0,0,0,1,1.20441,1.210594,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
645,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
645,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
645,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
645,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
645,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
645,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
645,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
645,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
645,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
643,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
641,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
631,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
166,13,2,0,0,0,2,4,1.204506,1.208371,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
167,14,0,0,0,0,0,1,1.201959,1.20579,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
168,15,0,0,0,0,0,1,1.201825,1.205472,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
172,16,0,0,0,0,0,4,1.207715,1.204706,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
177,17,0,0,0,0,0,5,1.209764,1.201796,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
182,18,0,0,0,0,0,5,1.208386,1.203653,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
187,19,1,0,0,0,1,6,1.206685,1.208886,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
192,20,0,0,0,0,0,5,1.207701,1.209117,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
197,21,0,0,0,0,0,5,1.205258,1.210114,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
201,22,0,0,0,0,0,4,1.209396,1.209106,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
207,23,0,0,0,0,0,6,1.208334,1.212473,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
218,24,0,0,0,0,0,11,1.20718,1.21304,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
