population,time,deathsByAge,deathsByHunger,deathsByThirst,deathsByHunt,deathsTotal,births,speed,size,hungerDecreaseFactor,thirstDecreaseFactor,staminaDecreaseFactor,staminaIncreaseFactor,gestationDuration,durationBetweenPregnancies,fovRange,growIntoAdultDurationSeconds,expectedAge,averageNumberOfChildren,foodRestoreHungerAmount,waterRestoreThirstAmount,speedMultiplyFactor,maxSpeed,minSpeed,maxSize,minSize,species
300,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
287,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
219,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
216,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
197,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
195,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
177,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
176,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
167,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
167,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
166,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
166,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
100,5,0,0,0,0,0,0,0.9944108,0.9904851,0.5,0.3,3,5,48,39,15,87,525,3,200,200,1,5,0.1,3,0.1,Deer
100,10,0,0,0,0,0,0,0.9944108,0.9904851,0.5,0.3,3,5,48,39,15,87,525,3,200,200,1,5,0.1,3,0.1,Deer
100,15,0,0,0,0,0,0,0.9944108,0.9904851,0.5,0.3,3,5,48,39,15,87,525,3,200,200,1,5,0.1,3,0.1,Deer
100,20,0,0,0,0,0,0,0.9944108,0.9904851,0.5,0.3,3,5,48,39,15,87,525,3,200,200,1,5,0.1,3,0.1,Deer
100,25,0,0,0,0,0,0,0.9944108,0.9904851,0.5,0.3,3,5,48,39,15,87,525,3,200,200,1,5,0.1,3,0.1,Deer
100,30,0,0,0,0,0,0,0.9944108,0.9904851,0.5,0.3,3,5,48,39,15,87,525,3,200,200,1,5,0.1,3,0.1,Deer
97,35,3,0,0,0,3,0,0.9966404,0.9899868,0.5,0.3,3,5,48,39,15,87,525,3,200,200,1,5,0.1,3,0.1,Deer
97,40,0,0,0,0,0,0,0.9966404,0.9899868,0.5,0.3,3,5,48,39,15,87,525,3,200,200,1,5,0.1,3,0.1,Deer
97,45,0,0,0,0,0,0,0.9966404,0.9899868,0.5,0.3,3,5,48,39,15,87,525,3,200,200,1,5,0.1,3,0.1,Deer
97,50,0,0,0,0,0,0,0.9966404,0.9899868,0.5,0.3,3,5,48,39,15,87,525,3,200,200,1,5,0.1,3,0.1,Deer
97,55,0,0,0,0,0,0,0.9966404,0.9899868,0.5,0.3,3,5,48,39,15,87,525,3,200,200,1,5,0.1,3,0.1,Deer
97,60,0,0,0,0,0,0,0.9966404,0.9899868,0.5,0.3,3,5,48,39,15,87,525,3,200,200,1,5,0.1,3,0.1,Deer
161,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
173,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
237,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
238,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
224,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
221,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
205,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
204,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
191,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
187,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
171,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grass
